"","meanImp","medianImp","minImp","maxImp","normHits","decision","Execution","Variable"
"LogIC50...1",8.26266550426747,8.97499453339297,0,10.7412318366558,0.919491525423729,"Confirmed",1,"LogIC50"
"IC50...2",8.26461939524466,8.98855327480737,0,10.9763151650283,0.921610169491525,"Confirmed",1,"IC50"
"PIAS4...3",6.95381183562715,7.55654590690138,0,9.79156399329764,0.896186440677966,"Confirmed",1,"PIAS4"
"LogIC50...4",8.39529871299699,9.02232275336874,0,10.6308682969407,0.93469387755102,"Confirmed",2,"LogIC50"
"IC50...5",8.38681066205566,8.93220613726157,0,10.6155755672172,0.93469387755102,"Confirmed",2,"IC50"
"PIAS4...6",7.07657540108822,7.55869110090455,0,9.45472156788747,0.902040816326531,"Confirmed",2,"PIAS4"
"LogIC50...7",8.41180026548883,9.0546790559857,0,10.5930836679406,0.937875751503006,"Confirmed",3,"LogIC50"
"IC50...8",8.37750373714592,9.02193250186999,0,10.9789108553024,0.933867735470942,"Confirmed",3,"IC50"
"PIAS4...9",7.01357884076225,7.51726884242564,0,9.18420914891509,0.899799599198397,"Confirmed",3,"PIAS4"
"LogIC50...10",8.59826120599691,9.05723422973012,0,10.9433918174558,0.949899799599198,"Confirmed",4,"LogIC50"
"IC50...11",8.53663911060831,9.03429256348485,0,11.135042750796,0.949899799599198,"Confirmed",4,"IC50"
"PIAS4...12",7.16980389329279,7.53515094030286,0,9.4561026199937,0.915831663326653,"Confirmed",4,"PIAS4"
"LogIC50...13",8.10345217041976,8.79987362290233,0,10.4986581275751,0.92479674796748,"Confirmed",5,"LogIC50"
"IC50...14",8.0582649995505,8.7937372930299,0,10.5925391272877,0.91869918699187,"Confirmed",5,"IC50"
"PIAS4...15",6.81196881362901,7.41917346682546,0,9.14314114848699,0.888211382113821,"Confirmed",5,"PIAS4"
"LogIC50...16",8.32121877521397,8.98428328314647,0,11.1018831491959,0.929577464788732,"Confirmed",6,"LogIC50"
"IC50...17",8.25759814644954,8.92342760840331,0,11.1940617400448,0.927230046948357,"Confirmed",6,"IC50"
"PIAS4...18",6.77013030680707,7.30296120152283,0,9.04177628128694,0.901408450704225,"Confirmed",6,"PIAS4"
"LogIC50...19",8.21383323821867,8.97887604965704,0,11.1567852584632,0.914798206278027,"Confirmed",7,"LogIC50"
"IC50...20",8.17444580908259,8.96395483616809,0,10.7160866330877,0.910313901345291,"Confirmed",7,"IC50"
"PIAS4...21",6.83695964164537,7.50324974937614,0,9.34948872035674,0.890134529147982,"Confirmed",7,"PIAS4"
"LogIC50...22",8.59872125396306,9.05626802567051,0,11.2310884425031,0.947895791583166,"Confirmed",8,"LogIC50"
"IC50...23",8.57263310539561,9.04945891746539,0,10.6597209760915,0.939879759519038,"Confirmed",8,"IC50"
"PIAS4...24",7.19650678407354,7.57480657465306,0,9.2955793521414,0.915831663326653,"Confirmed",8,"PIAS4"
"LogIC50...25",8.56394332060983,9.11380112063834,0,10.9428253376286,0.943887775551102,"Confirmed",9,"LogIC50"
"IC50...26",8.50515188395781,9.06585027457908,0,10.9727986414982,0.945891783567134,"Confirmed",9,"IC50"
"PIAS4...27",7.13580289957506,7.58828200166379,0,9.35214031922672,0.923847695390782,"Confirmed",9,"PIAS4"
"LogIC50...28",8.43457455653071,9.00991423117003,0,10.6501942455856,0.93970893970894,"Confirmed",10,"LogIC50"
"IC50...29",8.41096799991998,8.97967126100974,0,10.9442639494123,0.93970893970894,"Confirmed",10,"IC50"
"PIAS4...30",7.05583276644633,7.53485613742866,0,9.77091513333767,0.893970893970894,"Confirmed",10,"PIAS4"
